Borough,Address,Address1,OrganizationName,Faith_Based_Organization,Foundation,New_York_City_Agency,Nonprofit
SI,506 MAIN STREET,506 Main Street,Roosevelt Island Youth Program, Inc.,N,N,N,Y
BK,342 BROADWAY,342 Broadway,Youth Represent,N,N,N,Y
BK,826 BROADWAY,826 Broadway,Robin Hood Foundation,N,N,N,Y
QN,125-09 JAMAICA AVENUE,125-09 Jamaica Avenue,Liberty Center for Immigrants,N,N,N,Y
BK,124 UTICA AVENUE,124 Utica Avenue,Family and Community Support Services,N,N,N,Y
BK,310 CROWN STREET,310 Crown Street,Associated Beth Rivkah Schools, Inc,N,N,N,Y
QN,49-06 SKILLMAN AVENUE,49-06 Skillman Avenue,Latin American Integration Center,N,N,N,Y
BK,2997 OCEAN PARKWAY,2997 Ocean Parkway,Chabad Lubavitch of West Brighton,N,N,N,Y
BK,613 NEW LOTS AVENUE,613 New Lots Avenue,United Community Day Care Center, Inc,N,N,N,Y
BK,613 NEW LOTS AVENUE,613 New Lots Avenue,United Community Centers,N,N,N,Y
MN,105 MOSCO STREET,105 Mosco Street,Greater Chinatown Community Association,N,N,N,Y
QN,51-07 43 AVENUE,51-07 43 Avenue,Latin American Immigrant Association,N,N,N,Y
BK,995 CARROLL STREET,995 Carroll Street,Big Five Block Association Inc.,N,N,N,Y
QN,175-44 MAYFIELD ROAD,175-44 Mayfield Road,All My Children Day Care Center,N,N,N,Y
BK,120 JACKSON STREET,120 Jackson Street,School Settlement Associaton,N,N,N,Y
MN,160 BROADWAY,160 Broadway,National Society For Hebrew Day Schools,N,N,N,Y
MN,395 HUDSON STREET,395 Hudson Street,Legal Momentum,N,N,N,Y
BK,191 JORALEMON STREET,191 Joralemon Street,Catholic Charities Neighborhood Services, Inc.,N,N,N,Y
BK,625 JAMAICA AVENUE,625 Jamaica Avenue,Cypress Hills Local Development Corporation,N,N,N,Y
BK,1616 NEWKIRK AVENUE,1616 Newkirk Avenue,Flatbush Development Corporation,N,N,N,Y
QN,35-34 UNION STREET,35-34 Union Street,Korean Youth Center of New York,N,N,N,Y
MN,61 BROADWAY,61 Broadway,Young Survival Coalition,N,N,N,Y
QN,40-06 WARREN STREET,40-06 Warren Street,Concerned Citizens of Queens (Ciudadanos Conscientes de Queens),N,N,N,Y
BK,230 CLASSON AVENUE,230 Classon Avenue,St. Mary's Community Services, Inc.,N,N,N,Y
MN,419 EAST 86 STREET,419 East 86 Street,Association to Benefit Children,N,N,N,Y
QN,31-10 THOMSON AVENUE,31-10 Thomson Avenue,English Language Center at LaGuardia Community College,N,N,N,Y
QN,85-15 BROADWAY,85-15 Broadway,Reformed Church of Newtown,N,N,N,Y
MN,281 EAST BROADWAY,281 East Broadway,Henry Street Settlement Parent Center,N,N,N,Y
MN,260 AUDUBON AVENUE,260 Audubon Avenue,Dominican Foundation CULTURARTE of New York,N,N,N,Y
MN,512 WEST 143 STREET,512 WEST 143 STREET,THE BROTHERHOOD/SISTER SOL,N,N,N,Y
BX,861 CROTONA PARK NORTH,861 crotona park north,sylk,N,N,N,Y
MN,26 BLEECKER STREET,26 Bleecker Street,Planned Parenthood of New York City,N,N,N,Y
