Borough,Address,Block,Lot,Energy Star Score,Source EUI,Site EUI,Annual Maximum Demand,Total GHG Emissions
BK,1571 42 STREET,5363,45,1,232.6,191.6,,452.2
MN,3860 BROADWAY,2120,1,1,230.7,161.6,,432.9
QN,89-23 171 STREET,9807,73,5,160.8,121.6,,991.3
BK,674 LIVONIA AVENUE,3825,21,2,227.3,141.2,,428.5
BK,368 EASTERN PARKWAY,1266,22,2,183.9,156.6,,333.5
MN,80 ELIZABETH STREET,239,7501,1,170.7,88.9,,732.1
BK,222 WILLIAMSBURG ST EAST,2194,19,1,221,155.3,,332.6
BX,2 EAST 167 STREET,2496,52,4,223.8,139.7,,414.6
BK,9 NIXON COURT,7238,82,7,180.6,108.5,,346.2
BK,8801 FOSTER AVENUE,7946,14,5,323.5,115.5,,344.9
QN,60-52 MADISON STREET,3530,39,3,158.4,132.5,,604
MN,10 DOWNING STREET,527,27,4,211.3,111.1,,912.1
MN,465 GRAND STREET,315,70,1,10349,8956.4,,10213.4
MN,85 AVENUE A,432,7501,1,209,130.1,,284.4
MN,443 LAFAYETTE STREET,544,7502,2,238.6,139.7,168,1266.3
BX,2162 VALENTINE AVENUE,3144,45,2,186.6,141.1,,549.5
BX,2205 CRESTON AVENUE,3170,34,1,210.6,167,,538.4
QN,45-45 CENTER BOULEVARD,21,20,3,222.2,128.2,,6720.7
MN,103 WAVERLY PLACE,553,7501,1,401.6,216.7,,360.4
MN,2243 3 AVENUE,1787,1,6,202.6,136.3,,2356.6
MN,119 7 AVENUE,793,1,1,283.5,183,,669.5
MN,74 EAST 79 STREET,1393,40,5,175.9,101.9,,336.1
MN,180 10 AVENUE,718,7502,6,301.2,197.2,,946.1
BK,1751 67 STREET,5560,64,1,342.1,304.2,,2013.4
BK,1810 CORTELYOU ROAD,5161,1,7,155.8,129.4,,236.1
BX,3001 KINGSBRIDGE AVENUE,5709,1,1,699.1,222.6,,936.4
BX,1944 ANDREWS AVENUE SOUTH,3216,21,1,215,164.6,,461.6
BX,1056 BOYNTON AVENUE,3715,30,6,150.3,116,,470.6
MN,545 CATHEDRAL PARKWAY,1882,7502,1,353.8,187.1,,1254.2
BK,94 MASPETH AVENUE,2907,7501,5,184.4,116,,502.5
MN,2783 BROADWAY,1892,46,1,353,279.1,,516.7
MN,340 EAST 64 STREET,1438,7501,3,177.7,119.1,,2918.9
QN,166-40 89 AVENUE,9798,39,3,253.7,172.6,,738.4
MN,130 WEST 44 STREET,996,46,1,572.9,296,,1542.4
BK,419 HENDRIX STREET,4027,1,4,178.7,127.9,,443.6
BK,337 14 STREET,1036,68,1,947.4,310.7,,922.7
BK,719 EAST 24 STREET,7552,54,1,305.1,131,284,501.2
QN,46-15 SKILLMAN AVENUE,149,1,4,178.2,129.4,,518.3
MN,440 WEST 163 STREET,2110,15,5,222.2,139,112,339
