Borough,Address,Building Class
QN,214-55 JAMAICA AVENUE,O8
MN,144 2 AVENUE,O5
SI,2205 HYLAN BOULEVARD,O8
BK,2444 CONEY ISLAND AVENUE,O5
MN,556 BROOME STREET,O5
MN,155 AVENUE OF THE AMER,O6
SI,731 CASTLETON AVENUE,O5
BK,755 61 STREET,O5
MN,421 WEST 14 STREET,O5
MN,207 WEST 28 STREET,O5
MN,150 WEST 22 STREET,O6
MN,134 WEST 37 STREET,O6
MN,236 5 AVENUE,O6
MN,7 WEST 30 STREET,O6
MN,5 WEST 30 STREET,O5
MN,34 WEST 35 STREET,O5
BK,644 PARKSIDE AVENUE,O5
MN,16 EAST 48 STREET,O6
MN,252 FRONT STREET,O8
MN,145 EAST 57 STREET,O6
BK,253 ASHLAND PLACE,O6
BK,432 BEDFORD AVENUE,O5
MN,330 EAST 48 STREET,O8
BK,79 LORIMER STREET,O5
BK,110 KENT AVENUE,O5
BK,60 NORTH 1 STREET,O5
MN,2642 BROADWAY,O5
BX,1960 CRESTON AVENUE,O5
BK,169 RICHARDSON STREET,O8
BK,364 KNICKERBOCKER AVENUE,O8
MN,38 WEST 28 STREET,O5
MN,42 WEST 28 STREET,O5
MN,818 AVENUE OF THE AMER,O5
MN,377 5 AVENUE,O5
MN,461 PARK AVENUE SOUTH,O6
MN,60 EAST 11 STREET,O6
MN,856 AVENUE OF THE AMER,O6
MN,386 5 AVENUE,O6
MN,42 WEST 48 STREET,O6
MN,597 5 AVENUE,O6
MN,721 11 AVENUE,O5
MN,46 TRINITY PLACE,O5
MN,238 EAST 26 STREET,O5
MN,133 WEST 19 STREET,O6
MN,307 5 AVENUE,O6
QN,212-11 99 AVENUE,O5
MN,261 WEST 34 STREET,O5
MN,7 EAST 38 STREET,O6
MN,33 WEST 26 STREET,O5
MN,34 WEST 27 STREET,O6
MN,5 WEST 37 STREET,O6
SI,6659 AMBOY ROAD,O5
QN,119-12 94 AVENUE,O8
MN,12 WEST 21 STREET,O6
MN,206 5 AVENUE,O5
BK,3004 AVENUE J,O8
MN,591 BROADWAY,O5
MN,589 BROADWAY,O5
QN,108-12 72 AVENUE,O5
QN,42-33 162 STREET,O8
QN,42-31 162 STREET,O8
BK,2502 86 STREET,O5
MN,5 WEST 20 STREET,O5
MN,27 WEST 24 STREET,O6
BK,614 SHEEPSHEAD BAY ROAD,O6
QN,119-01 JAMAICA AVENUE,O5
BK,1402 AVENUE J,O5
BK,1408 AVENUE J,O5
MN,334 GRAND STREET,O6
MN,511 5 AVENUE,O6
MN,305 BROADWAY,O6
MN,90 LUDLOW STREET,O5
MN,515 GREENWICH STREET,O5
QN,97-52 64 AVENUE,O8
QN,65-21 FRESH MEADOW LANE,O5
BK,78 3 STREET,O5
BK,407 BRIGHTON BEACH AVE,O8
QN,207-12 NORTHERN BOULEVARD,O5
BK,8904 5 AVENUE,O5
SI,963 POST AVENUE,O8
QN,250-14 HILLSIDE AVENUE,O5
SI,183 NEW DORP LANE,O8
BK,3080 BRIGHTON 13 STREET,O8
QN,158-11 JEWEL AVENUE,O5
BK,5229 NEW UTRECHT AVENUE,O5
MN,110 JOHN STREET,O5
MN,16 EAST 55 STREET,O5
MN,592 BROADWAY,O6
BK,2701 AVENUE U,O8
MN,28 WEST 57 STREET,O6
MN,64 WEST 21 STREET,O8
BK,1396 MYRTLE AVENUE,O5
QN,108-21 69 ROAD,O8
SI,509 FOREST AVENUE,O8
MN,30 WEST 26 STREET,O6
QN,120-34 QUEENS BOULEVARD,O5
MN,111 EAST 77 STREET,O8
BK,5023 13 AVENUE,O5
BK,318 MAUJER STREET,O5
MN,56 WEST 45 STREET,O6
SI,124 GRANITE AVENUE,O5
QN,114-04 BEACH CHANNEL DRIVE,O5
SI,445 FOREST AVENUE,O5
MN,1400 AVENUE OF THE AMER,O6
MN,178 EAST 124 STREET,O5
MN,22 HOWARD STREET,O5
BK,774 59 STREET,O5
MN,43 WEST 23 STREET,O6
MN,59 EAST 54 STREET,O6
QN,34-18 NORTHERN BOULEVARD,O5
BK,5314 7 AVENUE,O8
BK,1052 LIBERTY AVENUE,O8
MN,160 PEARL STREET,O5
MN,297 GRAND STREET,O5
MN,42 GREENE STREET,O5
MN,826 BROADWAY,O6
MN,241 EAST 116 STREET,O8
MN,228 EAST 122 STREET,O5
SI,899 MANOR ROAD,O8
MN,158 WEST 29 STREET,O6
BK,97 NORTH 10 STREET,O5
QN,251-77 JERICHO TURNPIKE,O5
BK,405 BRIGHTON BEACH AVE,O8
BK,622 AVENUE X,O8
BK,500 BROADWAY,O5
BX,1134 MORRIS PARK AVENUE,O5
QN,676 WOODWARD AVENUE,O5
SI,422 RETFORD AVENUE,O8
BX,3853 EAST TREMONT AVENUE,O8
BK,92 NORMAN AVENUE,O8
BK,1302 AVENUE J,O5
BK,6741 3 AVENUE,O8
SI,2541 RICHMOND TERRACE,O5
BK,462 36 STREET,O5
MN,538 HUDSON STREET,O8
BK,5024 5 AVENUE,O5
BK,229 54 STREET,O5
BK,5323 5 AVENUE,O5
QN,65-50 FRESH MEADOW LANE,O5
BK,551 39 STREET,O5
BK,210 FLATBUSH AVENUE,O8
MN,836 BROADWAY,O5
BK,332A 9 STREET,O8
QN,210-13 35 AVENUE,O8
QN,148-11 175 STREET,O5
MN,2498 AMSTERDAM AVENUE,O8
BK,148 AVENUE T,O8
BK,974 52 STREET,O8
BK,8746 20 AVENUE,O5
BK,2914 AVENUE R,O5
BK,3009 QUENTIN ROAD,O8
BK,2357 CONEY ISLAND AVENUE,O5
MN,299 BROADWAY,O6
BK,14 POWERS STREET,O5
SI,6386 AMBOY ROAD,O5
SI,41 DUMONT AVENUE,O8
SI,19 ST MARYS AVENUE,O8
MN,30 EAST BROADWAY,O5
SI,113 NEW DORP PLAZA,O8
SI,2517 AMBOY ROAD,O8
QN,63-29 69 STREET,O8
BK,8524 3 AVENUE,O5
QN,124-22 METROPOLITAN AVENUE,O5
QN,45-28 PARSONS BOULEVARD,O8
QN,58-18 37 AVENUE,O5
QN,75-03 MAIN STREET,O5
QN,203-12 48 AVENUE,O5
QN,130-26 ROCKAWAY BOULEVARD,O5
SI,56 SEGUINE AVENUE,O5
SI,66 WILLOW AVENUE,O5
QN,33-10 QUEENS BOULEVARD,O5
MN,333 WEST 52 STREET,O6
BK,94 KINGS HIGHWAY,O8
BX,528 MORRIS AVENUE,O5
QN,25-01 QUEENS PLAZA NORTH,O5
QN,72-26 BROADWAY,O5
MN,9 EAST 38 STREET,O6
QN,108-28 68 DRIVE,O8
QN,23-24 STEINWAY STREET,O8
MN,241 EAST 60 STREET,O5
MN,833 BROADWAY,O5
QN,44-40 11 STREET,O5
QN,131-14 ROCKAWAY BOULEVARD,O8
BK,175 PEARL STREET,O6
MN,537 WEST 20 STREET,O5
MN,304 5 AVENUE,O6
QN,98-06 ASTORIA BOULEVARD,O8
BK,5501 FOSTER AVENUE,O5
BK,321 39 STREET,O5
BK,330 VAN BRUNT STREET,O8
MN,508 WEST 26 STREET,O6
MN,538 MADISON AVENUE,O5
SI,25 MANOR ROAD,O8
BX,2054 MORRIS AVENUE,O5
BK,280 WYCKOFF AVENUE,O5
BX,1408 CASTLE HILL AVENUE,O5
BX,4275 KATONAH AVENUE,O8
BK,1322 GRAVESEND NECK ROAD,O8
