Borough,Address,Job Start Date
BK,1355 ST MARKS AVENUE,2108-02-16T00:00:00.000
BK,1045 LINCOLN PLACE,2102-09-05T00:00:00.000
BK,1712 EASTERN PARKWAY,2200-01-24T00:00:00.000
BK,59 RALPH AVENUE,2103-06-21T00:00:00.000
BK,272 MARION STREET,2102-08-28T00:00:00.000
BK,276 MARION STREET,2103-06-19T00:00:00.000
BK,67 MOTHER GASTON BLVD,2047-08-21T00:00:00.000
BK,31 MARCUS GARVEY BLVD,2029-04-12T00:00:00.000
BK,1038 GREENE AVENUE,2105-04-21T00:00:00.000
BK,703 PUTNAM AVENUE,2108-09-12T00:00:00.000
BK,748 JEFFERSON AVENUE,2029-07-16T00:00:00.000
BK,772 HERKIMER STREET,2030-01-17T00:00:00.000
BK,62 TOMPKINS AVENUE,2044-12-20T00:00:00.000
BK,607 MARCY AVENUE,2213-05-21T00:00:00.000
BK,222 WALWORTH STREET,2105-06-12T00:00:00.000
BK,600 DEKALB AVENUE,2108-12-27T00:00:00.000
BK,376 THROOP AVENUE,2105-03-27T00:00:00.000
BK,416 MONROE STREET,2026-05-12T00:00:00.000
BK,436 FLUSHING AVENUE,2107-12-19T00:00:00.000
BK,286 CLINTON AVENUE,2108-09-21T00:00:00.000
BK,652 KENT AVENUE,2026-05-12T00:00:00.000
BK,368 MYRTLE AVENUE,2193-05-21T00:00:00.000
BK,98 FT GREENE PLACE,2022-12-19T00:00:00.000
BK,83 TAYLOR STREET,2100-05-19T00:00:00.000
BK,168 CLYMER STREET,2020-10-17T00:00:00.000
BK,221 MIDDLETON STREET,2217-10-23T00:00:00.000
BK,96 WYTHE AVENUE,2026-05-12T00:00:00.000
BK,72 BERRY STREET,2107-10-12T00:00:00.000
BK,27 HAVEMEYER STREET,2105-05-21T00:00:00.000
BK,70 NORTH 6 STREET,2219-11-13T00:00:00.000
BK,45 AINSLIE STREET,2020-04-06T00:00:00.000
BK,227 SOUTH 2 STREET,2066-11-08T00:00:00.000
BK,260 KENT AVENUE,2020-04-02T00:00:00.000
BK,357 BEDFORD AVENUE,2020-12-20T00:00:00.000
BK,1104 MANHATTAN AVENUE,2033-06-25T00:00:00.000
BK,169 JAVA STREET,2044-09-28T00:00:00.000
BK,111 NOBLE STREET,2022-01-31T00:00:00.000
BK,848 LORIMER STREET,2106-08-30T00:00:00.000
BK,117 AINSLIE STREET,2109-03-04T00:00:00.000
BK,175 POWERS STREET,2020-04-12T00:00:00.000
BK,485 MORGAN AVENUE,2103-06-18T00:00:00.000
BK,251 SKILLMAN AVENUE,2020-10-15T00:00:00.000
BK,871 GRAND STREET,2104-03-28T00:00:00.000
BK,140 STEWART AVENUE,2026-05-12T00:00:00.000
BK,1055 FLUSHING AVENUE,2102-04-11T00:00:00.000
BK,100 WHITE STREET,2105-06-15T00:00:00.000
BK,259 VARET STREET,2304-04-30T00:00:00.000
BK,22 GRAHAM AVENUE,2105-05-18T00:00:00.000
BK,777 BROADWAY,2102-08-16T00:00:00.000
BK,27 EVERGREEN AVENUE,2027-08-22T00:00:00.000
BK,73 JEFFERSON STREET,2201-06-05T00:00:00.000
BK,116 JEFFERSON STREET,2133-09-12T00:00:00.000
BK,404 SUYDAM STREET,2103-06-21T00:00:00.000
BK,45 CEDAR STREET,2104-11-21T00:00:00.000
BK,1185 BROADWAY,2026-05-12T00:00:00.000
BK,259 ST NICHOLAS AVENUE,2105-05-29T00:00:00.000
BK,283 ELDERT STREET,2104-01-22T00:00:00.000
BK,241 COOPER STREET,2020-10-23T00:00:00.000
BK,266 BLAKE AVENUE,2105-09-18T00:00:00.000
BK,231 CHESTER STREET,2105-09-18T00:00:00.000
BK,2112 STRAUSS STREET,2204-06-09T00:00:00.000
BK, CHESTER STREET,2020-04-02T00:00:00.000
BK,2887 ATLANTIC AVENUE,2044-08-25T00:00:00.000
BK,2800 ATLANTIC AVENUE,2107-09-14T00:00:00.000
BK,727 JEROME STREET,2020-04-06T00:00:00.000
BK,1004 CRESCENT STREET,2020-07-17T00:00:00.000
BK,10 SCHROEDERS WALK,2109-06-17T00:00:00.000
BK,30 EAST 98 STREET,2052-08-09T00:00:00.000
BK,323 EAST 19 STREET,2105-06-10T00:00:00.000
BK,365 EAST 22 STREET,2020-08-16T00:00:00.000
BK,644 19 STREET,2109-09-25T00:00:00.000
BK,4101 14 AVENUE,2020-04-08T00:00:00.000
BK,1539 44 STREET,2219-10-28T00:00:00.000
BK,4414 13 AVENUE,2122-07-27T00:00:00.000
BK,1315 50 STREET,2021-05-02T00:00:00.000
BK,1260 60 STREET,2021-04-07T00:00:00.000
BK,1449 61 STREET,2020-05-20T00:00:00.000
BK,861 64 STREET,2106-03-23T00:00:00.000
BK,6732 13 AVENUE,2201-06-04T00:00:00.000
BK,6924 5 AVENUE,2201-11-21T00:00:00.000
BK,7713 3 AVENUE,2020-06-25T00:00:00.000
BK,447 86 STREET,2105-06-24T00:00:00.000
BK,8701 RIDGE BOULEVARD,2194-11-06T00:00:00.000
BK,9281 SHORE ROAD,2102-04-26T00:00:00.000
BK,235 94 STREET,2020-08-13T00:00:00.000
BK,1641 77 STREET,2033-01-29T00:00:00.000
BK,8002 21 AVENUE,2033-10-16T00:00:00.000
BK,1132 81 STREET,2200-11-15T00:00:00.000
BK,2172 86 STREET,2021-04-02T00:00:00.000
BK,8845 19 AVENUE,2090-07-17T00:00:00.000
BK,1056 EAST 9 STREET,2106-05-24T00:00:00.000
BK,115 AVENUE O,2090-04-13T00:00:00.000
BK,1747 EAST 2 STREET,2107-07-28T00:00:00.000
BK,1650 EAST 8 STREET,2117-08-03T00:00:00.000
BK,1710 WEST 4 STREET,2102-04-17T00:00:00.000
BK,104 VAN SICKLEN STREET,2028-02-06T00:00:00.000
BK,400 EAST 2 STREET,2060-07-18T00:00:00.000
BK,1954 OCEAN AVENUE,2104-10-30T00:00:00.000
BK,1658 EAST 29 STREET,2090-02-20T00:00:00.000
BK,1730 EAST 14 STREET,2109-01-16T00:00:00.000
BK,1713 EAST 23 STREET,2048-11-28T00:00:00.000
BK,2621 AVENUE R,2021-05-25T00:00:00.000
BK,1856 EAST 19 STREET,2048-08-29T00:00:00.000
BK,2018 STILLWELL AVENUE,2044-02-04T00:00:00.000
BK,3915 NEPTUNE AVENUE,2102-12-03T00:00:00.000
BK,2027 MERMAID AVENUE,2105-12-22T00:00:00.000
BK,2838 WEST 15 STREET,2021-09-15T00:00:00.000
BK,4510 SURF AVENUE,2033-05-28T00:00:00.000
BK,1992 WEST 9 STREET,2103-08-20T00:00:00.000
BK,2296 CONEY ISLAND AVENUE,2104-10-31T00:00:00.000
BK,2197 EAST 4 STREET,2021-03-30T00:00:00.000
BK,30 AVENUE V,2102-05-02T00:00:00.000
BK,2624 CONEY ISLAND AVENUE,2033-10-15T00:00:00.000
BK,1217 SURF AVENUE,2201-11-07T00:00:00.000
BK,1213 AVENUE Z,2033-06-05T00:00:00.000
BK,1667 SHEEPSHEAD BAY ROAD,2107-06-13T00:00:00.000
BK,2450 NOSTRAND AVENUE,2201-07-13T00:00:00.000
BK,1184 EAST 32 STREET,2021-01-31T00:00:00.000
BK,1261 EAST 32 STREET,2105-10-20T00:00:00.000
BK,1951 FLATBUSH AVENUE,2033-10-16T00:00:00.000
BK,906 EAST 83 STREET,2107-06-21T00:00:00.000
BK,6608 AVENUE T,2109-01-08T00:00:00.000
BK,2945 BRIGHTON 3 STREET,2033-10-10T00:00:00.000
BK,201 BRIGHTON BEACH AVE,2030-01-17T00:00:00.000
BK,273 BRIGHTON BEACH AVENUE,2020-11-12T00:00:00.000
BK,252 EXETER STREET,2021-04-18T00:00:00.000
BK,3348 SHORE PARKWAY,2108-09-14T00:00:00.000
QN,21-01 46 ROAD,2020-09-04T00:00:00.000
QN,45-18 GREENPOINT AVENUE,2048-03-28T00:00:00.000
QN,48-10 43 STREET,2109-06-24T00:00:00.000
QN,47-50 41 STREET,2108-03-07T00:00:00.000
QN,36-18 GREENPOINT AVENUE,2229-10-02T00:00:00.000
QN,22-15 43 AVENUE,2054-03-24T00:00:00.000
QN,21-02 30 AVENUE,2088-08-06T00:00:00.000
QN,31-23 NEWTOWN AVENUE,2041-04-16T00:00:00.000
QN,34-02 STEINWAY STREET,2500-06-05T00:00:00.000
QN,23-25 31 STREET,2048-02-22T00:00:00.000
QN,23-15 ASTORIA BOULEVARD,2021-05-02T00:00:00.000
QN,22-02 21 STREET,2048-03-28T00:00:00.000
QN,14-30 ASTORIA PARK SOUTH,2048-03-06T00:00:00.000
QN,22-43 77 STREET,2105-09-18T00:00:00.000
QN,69-21 43 AVENUE,2029-03-11T00:00:00.000
QN,26-04 93 STREET,2029-06-29T00:00:00.000
QN,88-16 ROOSEVELT AVENUE,2099-03-19T00:00:00.000
QN,90-15 QUEENS BOULEVARD,2102-09-19T00:00:00.000
QN,94-15 58 AVENUE,2048-04-05T00:00:00.000
QN,105-05 OTIS AVENUE,2201-08-24T00:00:00.000
QN,97-45 63 DRIVE,2029-01-15T00:00:00.000
QN,96-18 63 DRIVE,2188-02-21T00:00:00.000
QN,99-27 63 ROAD,2025-04-22T00:00:00.000
QN,51-59 CODWISE PLACE,2119-04-17T00:00:00.000
QN,58-98 54 STREET,2029-09-19T00:00:00.000
QN,58-51 MASPETH AVENUE,2213-04-23T00:00:00.000
QN,85-20 57 AVENUE,2020-12-19T00:00:00.000
QN,64-53 ELLWELL CRESCENT,2028-12-13T00:00:00.000
QN,66-43 SAUNDERS STREET,2029-04-16T00:00:00.000
QN,100-12 QUEENS BOULEVARD,2028-12-12T00:00:00.000
QN,65-02 FOREST AVENUE,2025-04-22T00:00:00.000
QN,59-09 ST FELIX AVENUE,2102-06-21T00:00:00.000
QN,65-01 MYRTLE AVENUE,2048-08-23T00:00:00.000
QN,9-04 124 STREET,2044-03-27T00:00:00.000
QN,15-37 128 STREET,2029-03-26T00:00:00.000
QN,151-38 7 AVENUE,2206-08-10T00:00:00.000
QN,163-48 15 DRIVE,2116-05-12T00:00:00.000
QN,139-29 34 ROAD,2048-02-01T00:00:00.000
QN,41-61 KISSENA BOULEVARD,2104-04-26T00:00:00.000
QN,56-45 MAIN STREET,2020-04-01T00:00:00.000
QN,146-17 56 ROAD,2025-04-02T00:00:00.000
QN,44-25 KISSENA BOULEVARD,2041-04-17T00:00:00.000
QN,42-23 161 STREET,2103-08-19T00:00:00.000
QN,47-44 196 PLACE,2029-03-15T00:00:00.000
QN,163-02 21 AVENUE,2107-03-09T00:00:00.000
QN,60-19 MAIN STREET,2045-03-06T00:00:00.000
QN,144-45 71 AVENUE,2028-10-18T00:00:00.000
QN,8150A UTOPIA PARKWAY,2021-05-27T00:00:00.000
QN,180-18 UNION TURNPIKE,2066-04-14T00:00:00.000
QN,76-10 COMMONWEALTH BLVD,2105-08-24T00:00:00.000
QN,80-05 CROSS ISLAND PARKWAY,2048-05-04T00:00:00.000
QN,31-07 DOUGLAS ROAD,2100-05-09T00:00:00.000
QN,68-11 DOUGLASTON PARKWAY,2118-06-12T00:00:00.000
QN,270-05 76 AVENUE,2201-01-20T00:00:00.000
QN,84-20 102 ROAD,2099-05-13T00:00:00.000
QN,109-15 98 STREET,2024-07-22T00:00:00.000
QN,107-07 JAMAICA AVENUE,2044-01-28T00:00:00.000
QN,108-11 LIBERTY AVENUE,2206-10-11T00:00:00.000
QN,121-18 LIBERTY AVENUE,2051-06-18T00:00:00.000
QN,88-04 164 STREET,2103-11-21T00:00:00.000
QN,170-13 HILLSIDE AVENUE,2501-07-27T00:00:00.000
QN,182-35 WEXFORD TERRACE,2500-04-24T00:00:00.000
QN,144-24 TUSKEGEE AIRMEN WAY,2200-03-22T00:00:00.000
QN,111-10 FARMERS BOULEVARD,2049-06-28T00:00:00.000
QN,197-01 HILLSIDE AVENUE,2108-08-01T00:00:00.000
QN,91-08 215 STREET,2099-12-11T00:00:00.000
QN,194-25 116 ROAD,2041-09-17T00:00:00.000
QN,126-11 152 AVENUE,2310-11-23T00:00:00.000
QN,147-20 FERNDALE AVENUE,2108-11-05T00:00:00.000
QN,147-29 GLASSBORO AVENUE,2027-02-27T00:00:00.000
QN,148-15 NORTH CONDUIT AVENUE,2049-11-26T00:00:00.000
QN,168-02 LINDEN BOULEVARD,2028-05-23T00:00:00.000
QN,198-14 120 AVENUE,2048-02-22T00:00:00.000
QN,141-37 250 STREET,2050-12-22T00:00:00.000
QN,229-04 148 AVENUE,2044-09-22T00:00:00.000
QN,244-17 149 AVENUE,2023-01-17T00:00:00.000
QN,230-19 ROCKAWAY BOULEVARD,2021-04-22T00:00:00.000
QN,157-50 92 STREET,2029-08-02T00:00:00.000
QN,285 BEACH 15 STREET,2199-09-02T00:00:00.000
QN,202-30 ROCKAWAY POINT BLVD,2041-09-11T00:00:00.000
QN,217-02 BREEZY POINT BLVD,2049-04-24T00:00:00.000
SI,189 CORSON AVENUE,2041-01-23T00:00:00.000
SI,265 YORK AVENUE,2109-01-17T00:00:00.000
SI,154 WEST BUCHANAN STREET,2107-03-22T00:00:00.000
SI,780 POST AVENUE,2105-11-24T00:00:00.000
SI,302 WESTCOTT BOULEVARD,2031-08-07T00:00:00.000
SI,6 BRADLEY AVENUE,2108-01-31T00:00:00.000
SI,362 CHEVES AVENUE,2081-12-14T00:00:00.000
SI,75 VANDERBILT AVENUE,2107-08-17T00:00:00.000
SI,472 INGRAM AVENUE,2107-06-21T00:00:00.000
SI,2800 VICTORY BOULEVARD,2110-02-23T00:00:00.000
SI,2655 RICHMOND AVENUE,2109-06-27T00:00:00.000
SI,69 NORWOOD AVENUE,2104-09-16T00:00:00.000
SI,433 CLIFTON AVENUE,2108-10-24T00:00:00.000
SI,1300 HYLAN BOULEVARD,2107-06-13T00:00:00.000
SI,157 CROMWELL AVENUE,2213-04-08T00:00:00.000
SI,475 SEAVIEW AVENUE,2020-03-31T00:00:00.000
SI,2110 RICHMOND ROAD,2107-12-01T00:00:00.000
SI,268 GRIMSBY STREET,2108-05-21T00:00:00.000
SI,42 NEW DORP LANE,2105-12-09T00:00:00.000
SI,67 STRAWBERRY LANE,2022-07-15T00:00:00.000
SI,349 DOANE AVENUE,2104-02-19T00:00:00.000
SI,109 CANTON AVENUE,2109-06-04T00:00:00.000
SI,655 ROSSVILLE AVENUE,2109-01-23T00:00:00.000
SI,67 TENAFLY PLACE,2104-03-06T00:00:00.000
SI,77 TENAFLY PLACE,2213-08-08T00:00:00.000
SI,282 SOUTH RAILROAD ST,2023-07-03T00:00:00.000
SI,32 HERRICK AVENUE,2109-04-24T00:00:00.000
SI,40 BLOOMINGDALE ROAD,2105-10-30T00:00:00.000
SI, MADSEN AVENUE,2020-12-16T00:00:00.000
SI,398 PAGE AVENUE,2107-10-23T00:00:00.000
SI,44 MAIN STREET,2206-12-27T00:00:00.000
