Borough,Address,Total Building Floor Area,Number of Floors,Assessed Total Value,Year Built
QN, JACKSON AVENUE,0,0,0,0
QN,130 AVENUE,0,0,0,0
BK, HYMEN COURT,0,0,0,0
BK,12 AVENUE,0,0,0,0
BK,EAST 91 STREET,0,0,0,0
MN,WEST 36 STREET,0,0,0,0
BK, RIVERDALE AVENUE,0,0,0,0
QN,51 AVENUE,0,0,0,0
BK, SNEDIKER AVENUE,0,0,0,0
BK, SNEDIKER AVENUE,0,0,0,0
BK,16 AVENUE,0,0,0,0
SI, STAFFORD AVENUE,0,0,0,0
BK, BLAKE AVENUE,0,0,0,0
BK,9 AVENUE,0,0,0,0
QN, ATLANTIC AVENUE,0,0,0,0
MN,450 LEXINGTON AVENUE,0,0,0,0
BK,EAST 28 STREET,0,0,0,0
BK, LINDEN BOULEVARD,0,0,0,0
BK,4101 14 AVENUE,0,0,0,0
BK, DITMAS AVENUE,0,0,0,0
QN, RUST STREET,0,0,0,0
BK, AVENUE Z,0,0,0,0
BK, NEWPORT STREET,0,0,0,0
SI, VICTORY BOULEVARD,0,0,0,0
QN, GRAND AVENUE,0,0,0,0
BK,7 AVENUE,0,0,0,0
QN, ATLANTIC AVENUE,0,0,0,0
QN, NORTH BOULEVARD,0,0,0,0
QN,,0,0,0,0
QN,49 STREET,0,0,0,0
QN,44 AVENUE,0,0,0,0
SI, OXFORD PLACE,0,0,0,0
SI,25 BAY STREET,0,0,0,0
BK,EAST 40 STREET,0,0,0,0
QN, TERRACE COURT,0,0,0,0
QN,65 PLACE,0,0,0,0
QN, PRINCE STREET,0,0,0,0
SI, PRESENTATION CIRCLE,0,0,0,0
SI, MERSEREAU AVENUE,0,0,0,0
BX,2500 ELLIS AVENUE,0,0,0,0
SI, WEST FINGERBOARD RD,0,0,0,0
BK,EAST 98 STREET,0,0,0,0
BK,1101 AVENUE R,0,0,0,0
SI, RICHMOND ROAD,0,0,0,0
QN, SOUTH ROAD,0,0,0,0
SI, NORTH RAILROAD AVE,0,0,0,0
QN,43 STREET,0,0,0,0
BK, KEEN COURT,0,0,0,0
SI, BRAD LANE,0,0,0,0
QN,30 STREET,0,0,0,0
BK,5300 1 AVENUE,0,0,0,0
QN,25 STREET,0,0,0,0
BK,5 AVENUE,0,0,0,0
QN,116-20 208 STREET,0,0,0,0
SI, AMBOY ROAD,0,0,0,0
BK, UTICA AVENUE,0,0,0,0
QN,28 STREET,0,0,0,0
SI, LINCOLN AVENUE,0,0,0,0
SI, ARMSTRONG AVENUE,0,0,0,0
BX,1613 BRUCKNER BOULEVARD,0,0,0,0
BK,37 GOLD STREET,0,0,0,0
BX, SHERIDAN AVENUE,0,0,0,0
SI, ATLANTIC AVENUE,0,0,0,0
QN,34 AVENUE,0,0,0,0
QN, SOUTH CONDUIT AVENUE,0,0,0,0
QN, SOUTH CONDUIT AVENUE,0,0,0,0
SI, ATLANTIC AVENUE,0,0,0,0
SI, MC KINLEY AVENUE,0,0,0,0
QN, ATLANTIC AVENUE,0,0,0,0
QN,79 PLACE,0,0,0,0
MN,WEST 143 STREET,0,0,0,0
MN, HARLEM RIVER DRIVE,0,0,0,0
BK,2105 EAST 71 STREET,0,0,0,0
BK,923 REMSEN AVENUE,0,0,0,0
QN,BEACH 80 STREET,0,0,0,0
SI,465 JEWETT AVENUE,0,0,0,0
QN, NORTH BOULEVARD,0,0,0,0
QN,219-41 REAR 67 AVENUE,0,0,0,0
SI, WOODROW ROAD,0,0,0,0
SI, ANNADALE ROAD,0,0,0,0
QN, THORNTON PLACE,0,0,0,0
QN, BOKER COURT,0,0,0,0
QN,170 STREET,0,0,0,0
SI, BAY STREET,0,0,0,0
QN, JAMAICA AVENUE,0,0,0,0
QN,22-11 39 AVENUE,0,0,0,0
SI, SONIA COURT,0,0,0,0
QN,69 LANE,0,0,0,0
BX, PAUL AVENUE,0,0,0,0
BK,EAST 15 STREET,0,0,0,0
QN, UNION TURNPIKE,0,0,0,0
SI,143 WATERBURY AVENUE,0,0,0,0
BX,EAST 180 STREET,0,0,0,0
BX, WEBSTER AVENUE,0,0,0,0
QN,27 STREET,0,0,0,0
QN,70-32 48 AVENUE,0,0,0,0
QN, OCEAN AVENUE,0,0,0,0
QN, ROCKAWAY BEACH BLVD,0,0,0,0
SI, AMBOY ROAD,0,0,0,0
BK, FARRAGUT ROAD,0,0,0,0
BK, CROWN STREET,0,0,0,0
QN,BEACH 39 STREET,0,0,0,0
BK,EAST 100 STREET,0,0,0,0
SI, CHRISSY COURT,0,0,0,0
MN,WEST 34 STREET,0,0,0,0
QN,BEACH 100 STREET,0,0,0,0
SI, WIRT AVENUE,0,0,0,0
BK,EAST 98 STREET,0,0,0,0
QN, MYRTLE AVENUE,0,0,0,0
BK,56 STREET,0,0,0,0
QN,32 AVENUE,0,0,0,0
QN,34 AVENUE,0,0,0,0
