Borough,Address,Year Built,Building Class
QN,16-23 CODY AVENUE,1953,F5
QN,182-15 HORACE HARDING EXPWY,1970,O1
BX,1177 EAST 156 STREET,1936,F5
BK,544 PARK AVENUE,1959,F5
BK,1201 FLUSHING AVENUE,1923,F5
BX,2941 BRUCKNER BOULEVARD,1997,O1
BK,1165 ROCKAWAY AVENUE,1970,O1
BK,401 WYTHE AVENUE,1900,F5
BK,166 25 STREET,1960,F5
BK,60 FRANKLIN AVENUE,1935,F5
BK,6409 14 AVENUE,1931,F5
QN,150-32 12 ROAD,1930,F5
BK,192 SEIGEL STREET,1931,F5
BK,73 WYTHE AVENUE,1900,F5
BX,4110 PARK AVENUE,1931,F5
BK,1254 UTICA AVENUE,1931,F5
QN,179-30 149 STREET,1966,O1
BK,738 65 STREET,1931,F5
BK,58 SEABRING STREET,1955,F5
QN,111-09 JAMAICA AVENUE,1931,O1
BK,189 CONOVER STREET,1920,F5
BK,924 60 STREET,1978,F5
BK,130 MONTGOMERY STREET,1920,F5
SI,451 SPENCER STREET,1931,F5
BK,502 FLUSHING AVENUE,1931,F5
BK,957 ESSEX STREET,1993,F5
BK,3923 NEW UTRECHT AVENUE,1930,F5
BX,447 EAST 172 STREET,1931,F5
BX,810 EAST 141 STREET,1931,F5
BK,5907 PRESTON COURT,1960,F5
BK,4512 FARRAGUT ROAD,1931,O1
BX,861 EAGLE AVENUE,1900,F5
BX,890 ZEREGA AVENUE,1980,F5
BK,259 BOND STREET,1920,F5
BK,214 25 STREET,1950,F5
BK,919 GRAND STREET,1900,F5
BK,325 JOHNSON AVENUE,1970,F5
QN,39-31 21 STREET,1957,F5
QN,54-65 48 STREET,1930,O1
QN,56-63 MELVINA PLACE,1935,F5
SI,3083 RICHMOND TERRACE,1931,F5
QN,63-44 AUSTIN STREET,1941,O1
MN,246 DYCKMAN STREET,1927,F5
BX,2422 3 AVENUE,1940,F5
BX,391 RIDER AVENUE,1931,F5
BX,796 EAST 140 STREET,1969,F5
BK,189 1 STREET,1940,F5
BX,1187 EAST 156 STREET,1951,F5
BX,531 TIFFANY STREET,1928,F5
BX,3922 PARK AVENUE,1963,F5
BX,2435 WATERBURY AVENUE,1962,F5
BK,4314 NEW UTRECHT AVENUE,1930,F5
BK,473 DAHILL ROAD,1930,F5
BK,835 40 STREET,1955,F5
BK,50 HERKIMER PLACE,1910,F5
QN,167-04 NORTHERN BOULEVARD,1935,O1
BK,174 BRIGHTON 11 STREET,1940,O1
BX,1156 WORTHEN STREET,1920,F5
QN,10-01 43 AVENUE,1920,F5
QN,38-72 13 STREET,1970,F5
BX,3960 MERRITT AVENUE,1959,F5
BX,3931 MULVEY AVENUE,1983,F5
BK,85 COFFEY STREET,1931,F5
QN,36-57 36 STREET,1930,F5
QN,36-39 36 STREET,1930,F5
QN,131 AVENUE,1992,O1
BK,255 CONOVER STREET,1931,F5
BX,412 CITY ISLAND AVENUE,1947,F5
BK,188 4 AVENUE,1931,F5
QN,59-49 56 AVENUE,1949,F5
QN,59-45 56 AVENUE,1940,O1
QN,59-59 56 ROAD,1930,F5
BK,813 63 STREET,1931,F5
BK,276 STAGG STREET,2006,F5
QN,54-24 73 PLACE,1950,O1
MN,144 BAXTER STREET,1969,F5
BK,30 FRANKLIN STREET,1931,F5
BK,107 SANDFORD STREET,1931,F5
BX,967 LONGFELLOW AVENUE,1930,F5
MN,514 WEST 113 STREET,1910,O1
BX,375 EAST 163 STREET,1934,F5
BK,6124 6 AVENUE,1929,F5
BX,2521 BUTLER PLACE,1954,O1
BK,409 WILLOUGHBY AVENUE,1931,F5
BK,486 FLUSHING AVENUE,1931,F5
BX,3453 DE LAVALL AVENUE,1950,F5
BK,20 MARGINAL ST WEST,1931,O1
QN,78-15 MYRTLE AVENUE,1990,O1
SI,208 GRANDVIEW AVENUE,2003,F5
QN,78-09 MYRTLE AVENUE,1990,O1
QN,58-37 FRANCIS LEWIS BLVD,1936,O1
SI,809 HENDERSON AVENUE,1935,F5
QN,65-17 68 AVENUE,1930,F5
BX,1522 SOUTHERN BOULEVARD,1931,O1
BX,2301 WHITE PLAINS ROAD,1965,O1
BK,43 COFFEY STREET,1931,F5
QN,74-16 CYPRESS HILLS STREET,1931,F5
BX,113 EAST 183 STREET,1931,O1
BK,199 BUSH STREET,1974,F5
BK,863 PACIFIC STREET,1930,F5
BK,275 FRONT STREET,1958,F5
BK,249 MC KIBBIN STREET,1931,F5
BX,510 CASANOVA STREET,1925,F5
BX,2572 PARK AVENUE,1931,F5
QN,58-85 54 STREET,1920,O1
BK,2046 UTICA AVENUE,1930,F5
BK,1024 PACIFIC STREET,1930,F5
BK,6217 14 AVENUE,1931,F5
QN,14-20 130 STREET,1951,F5
SI,54 HUDSON PLACE,1960,O1
BK,1042 ATLANTIC AVENUE,1930,F5
BX,759 EAST 132 STREET,1931,F5
BX,697 EAST 132 STREET,1931,F5
BK,1632 61 STREET,1931,F5
BK,824 62 STREET,1997,F5
BK,1158 MANHATTAN AVENUE,1931,F5
BX,2400 HALSEY STREET,2001,O1
BX,1508 STILLWELL AVENUE,1974,F5
QN,43-12 QUEENS STREET,1931,F5
BK,1529 60 STREET,1931,F5
BK,205 SHEFFIELD AVENUE,1986,F5
BX,2580 BOSTON ROAD,1934,O1
MN,227 EAST 105 STREET,1920,O1
QN,214-10 24 AVENUE,1950,O1
QN,65-51 GRAND AVENUE,1940,F5
BX,3671 BRONXWOOD AVENUE,1927,O1
QN,182-03 HORACE HARDING EXPWY,1965,O1
BX,1764 BOSTON ROAD,1931,O1
QN,114-07 LIBERTY AVENUE,1931,F5
QN,615 BEACH 20 STREET,1931,O1
BX,909 EAST 135 STREET,1947,F5
MN,508 EAST 117 STREET,1930,F5
QN,121-60 FARMERS BOULEVARD,1956,F5
BK,300 RICHARDSON STREET,1920,F5
QN,58-44 MAIN STREET,1997,O1
BK,1101 FLUSHING AVENUE,1931,F5
BX,2616 CHESBROUGH AVENUE,1963,F5
BK,1088 FLUSHING AVENUE,1931,F5
BX,728 EAST 136 STREET,1931,F5
BK,73 KENT AVENUE,1960,F5
QN,94-33 89 STREET,1987,F5
BK,209 NORTH 8 STREET,1950,F5
BK,1350 39 STREET,1931,F5
BK,127 POWELL STREET,2017,F5
BK,413 20 STREET,1931,F5
BX,550 BARRY STREET,1907,F5
BK,471 FLUSHING AVENUE,1976,F5
MN,161 SUFFOLK STREET,1920,O1
QN,103-15 100 STREET,1950,F5
