Borough,Address,Violation Type
MN,1384 BROADWAY,LL11/98-LOCAL LAW 11/98 - FACADE
MN,84 5 AVENUE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,552 AVENUE OF THE AMER,LL11/98-LOCAL LAW 11/98 - FACADE
MN,27 WEST 16 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,118 5 AVENUE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,15 WEST 18 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,3 WEST 18 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,38 WEST 21 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,166 5 AVENUE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,43 WEST 24 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,1115 BROADWAY,LL11/98-LOCAL LAW 11/98 - FACADE
MN,24 WEST 25 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,40 WEST 25 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,208 5 AVENUE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,228 5 AVENUE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,18 WEST 27 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,45 WEST 27 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,1181 BROADWAY,LL11/98-LOCAL LAW 11/98 - FACADE
MN,13 WEST 28 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,1186 BROADWAY,LL11/98-LOCAL LAW 11/98 - FACADE
MN,842 AVENUE OF THE AMER,LL11/98-LOCAL LAW 11/98 - FACADE
MN,3 WEST 29 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,276 5 AVENUE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,286 5 AVENUE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,1226 BROADWAY,LL11/98-LOCAL LAW 11/98 - FACADE
MN,6 WEST 32 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,34 WEST 32 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,1260 BROADWAY,LL11/98-LOCAL LAW 11/98 - FACADE
MN,338 5 AVENUE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,43 WEST 34 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,358 5 AVENUE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,36 WEST 35 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,29 WEST 35 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,372 5 AVENUE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,72 WEST 36 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,63 WEST 36 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,53 WEST 36 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,25 WEST 36 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,19 WEST 36 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,49 WEST 37 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,5 WEST 37 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,21 WEST 38 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,15 WEST 39 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,1054 AVENUE OF THE AMER,LL11/98-LOCAL LAW 11/98 - FACADE
MN,9 EAST 16 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,18 EAST 17 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,5 EAST 16 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,889 BROADWAY,LL11/98-LOCAL LAW 11/98 - FACADE
MN,129 5 AVENUE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,45 EAST 20 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,22 EAST 21 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,915 BROADWAY,LL11/98-LOCAL LAW 11/98 - FACADE
MN,39 EAST 20 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,260 PARK AVENUE SOUTH,LL11/98-LOCAL LAW 11/98 - FACADE
MN,24 EAST 21 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,21 EAST 22 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,30 EAST 23 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,16 EAST 23 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,1 MADISON AVENUE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,53 EAST 25 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,380 PARK AVENUE SOUTH,LL11/98-LOCAL LAW 11/98 - FACADE
MN,28 EAST 29 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,33 EAST 30 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,444 PARK AVENUE SOUTH,LL11/98-LOCAL LAW 11/98 - FACADE
MN,450 PARK AVENUE SOUTH,LL11/98-LOCAL LAW 11/98 - FACADE
MN,31 EAST 32 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,321 5 AVENUE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,169 MADISON AVENUE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,30 PARK AVENUE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,397 5 AVENUE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,260 MADISON AVENUE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,70 PARK AVENUE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,453 5 AVENUE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,112 EAST 16 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,38 IRVING PLACE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,61 IRVING PLACE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,225 PARK AVENUE SOUTH,LL11/98-LOCAL LAW 11/98 - FACADE
MN,153 EAST 18 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,26 GRAMERCY PARK SOUTH,LL11/98-LOCAL LAW 11/98 - FACADE
MN,36 GRAMERCY PARK EAST,LL11/98-LOCAL LAW 11/98 - FACADE
MN,12 LEXINGTON AVENUE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,143 EAST 23 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,124 EAST 24 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,365 PARK AVENUE SOUTH,LL11/98-LOCAL LAW 11/98 - FACADE
MN,160 EAST 27 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,381 PARK AVENUE SOUTH,LL11/98-LOCAL LAW 11/98 - FACADE
MN,121 EAST 27 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,382 3 AVENUE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,124 EAST 28 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,114 EAST 28 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,105 EAST 29 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,443 PARK AVENUE SOUTH,LL11/98-LOCAL LAW 11/98 - FACADE
MN,120 EAST 31 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,461 PARK AVENUE SOUTH,LL11/98-LOCAL LAW 11/98 - FACADE
MN,109 EAST 31 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,121 EAST 31 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,184 LEXINGTON AVENUE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,114 EAST 32 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,471 PARK AVENUE SOUTH,LL11/98-LOCAL LAW 11/98 - FACADE
MN,150 EAST 34 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,120 EAST 34 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
