Borough,Address,Sale Date,Sale Price
MN,177 EAST 74 STREET,07/02/2019,480000
MN,237 EAST 62 STREET,07/19/2019,17800000
MN,241 EAST 62 STREET,07/19/2019,17800000
MN,46 WEST 29 STREET,07/25/2019,2475000
MN,215 EAST 73 STREET,07/30/2019,850000
MN,240 EAST 79 STREET,08/01/2019,560000
MN,240 EAST 79 STREET,07/02/2019,485000
MN,1325 1 AVENUE,07/01/2019,550000
MN,1445 1 AVENUE,07/09/2019,785000
MN,1498 2 AVENUE,07/29/2019,1225000
MN,1498 2 AVENUE,07/29/2019,0
MN,405 EAST 63 STREET,07/08/2019,642000
MN,405 EAST 63 STREET,07/11/2019,395000
MN,415 EAST 85 STREET,07/18/2019,357000
BX,580 RIVER AVENUE,07/26/2019,42000000
MN,1401 YORK AVENUE,07/16/2019,999950
MN,515 EAST 79 STREET,07/25/2019,1192500
MN,508 EAST 78 STREET,07/30/2019,369000
MN,49 WEST 39 STREET,07/09/2019,0
MN,47 WEST 39 STREET,07/09/2019,0
MN,7 EAST 14 STREET,07/15/2019,799000
MN,1150 PARK AVENUE,07/02/2019,1250000
MN,1115 5 AVENUE,07/09/2019,5300000
MN,162 EAST 80 STREET,07/24/2019,2200000
MN,935 PARK AVENUE,07/16/2019,2200000
MN,969 PARK AVENUE,07/18/2019,1225000
MN,983 PARK AVENUE,07/17/2019,0
MN,505 EAST 82 STREET,07/29/2019,1190000
MN,505 EAST 82 STREET,07/29/2019,1190000
MN,151 EAST 83 STREET,07/31/2019,3650000
MN,523 EAST 84 STREET,07/02/2019,520000
MN,520 EAST 86 STREET,07/11/2019,4000000
MN,166 EAST 92 STREET,07/16/2019,0
MN,1270 5 AVENUE,07/23/2019,800000
MN,1270 5 AVENUE,07/08/2019,720000
MN,222 EAST 82 STREET,07/11/2019,649000
MN,222 EAST 82 STREET,07/25/2019,895000
BX,1140 GRANT AVENUE,07/25/2019,1000000
MN,333 EAST 79 STREET,07/23/2019,761000
MN,311 EAST 83 STREET,07/26/2019,1575000
MN,153 MADISON AVENUE,07/02/2019,625000
MN,12 WOOSTER STREET,07/12/2019,2750000
MN,415 EAST 80 STREET,07/09/2019,499000
MN,242 MADISON AVENUE,07/24/2019,580000
MN,309 CANAL STREET,07/22/2019,0
MN,446 EAST 86 STREET,07/26/2019,0
MN,436 EAST 86 STREET,07/25/2019,595000
MN,436 EAST 86 STREET,08/01/2019,595000
MN,1652 1 AVENUE,07/01/2019,0
MN,414 EAST 88 STREET,07/25/2019,265000
